,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Sales
304989,563616,21212,PACK OF 72 RETROSPOT CAKE CASES,1200,8/18/2011 9:39,0.4,13027.0,United Kingdom,480.0
311391,564272,16014,SMALL CHINESE STYLE SCISSOR,2000,8/24/2011 10:52,0.32,16308.0,United Kingdom,640.0
319753,564871,21497,FANCY FONTS BIRTHDAY WRAP,1000,8/31/2011 10:46,0.34,17949.0,United Kingdom,340.0
321040,565122,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,9/1/2011 11:48,0.17,13069.0,United Kingdom,244.8
321304,565145,22492,MINI PAINT SET VINTAGE ,1152,9/1/2011 13:50,0.55,12415.0,Australia,633.6
331716,566028,16014,SMALL CHINESE STYLE SCISSOR,1000,9/8/2011 12:58,0.32,13848.0,United Kingdom,320.0
347563,567309,21787,RAIN PONCHO RETROSPOT,1788,9/19/2011 13:39,0.85,12901.0,United Kingdom,1519.8
348316,567423,23286,BLUE VINTAGE SPOT BEAKER,1878,9/20/2011 11:05,1.08,17450.0,United Kingdom,2028.2400000000002
348317,567423,23288,GREEN VINTAGE SPOT BEAKER,1944,9/20/2011 11:05,1.08,17450.0,United Kingdom,2099.52
348318,567423,23285,PINK VINTAGE SPOT BEAKER,1944,9/20/2011 11:05,1.08,17450.0,United Kingdom,2099.52
348322,567423,22969,HOMEMADE JAM SCENTED CANDLES,1428,9/20/2011 11:05,1.7,17450.0,United Kingdom,2427.6
348325,567423,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,9/20/2011 11:05,5.06,17450.0,United Kingdom,7144.719999999999
369674,569085,21098,CHRISTMAS TOILET ROLL,1200,9/30/2011 11:57,1.06,17949.0,United Kingdom,1272.0
369675,569086,22197,POPCORN HOLDER,1000,9/30/2011 11:58,0.72,17949.0,United Kingdom,720.0
376061,569492,21915,RED  HARMONICA IN BOX ,1540,10/4/2011 13:30,1.06,16333.0,United Kingdom,1632.4
380505,569815,85099B,JUMBO BAG RED RETROSPOT,1000,10/6/2011 11:53,1.79,15838.0,United Kingdom,1790.0
409248,572052,22595,GINGHAM HEART DECORATION,1728,10/20/2011 12:26,0.72,14646.0,Netherlands,1244.1599999999999
417792,572670,22065,CHRISTMAS PUDDING TRINKET POT ,1200,10/25/2011 13:14,0.39,13685.0,United Kingdom,468.0
421601,573003,23084,RABBIT NIGHT LIGHT,2400,10/27/2011 12:11,2.08,14646.0,Netherlands,4992.0
421632,573008,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4800,10/27/2011 12:26,0.21,12901.0,United Kingdom,1008.0
424310,573261,22197,POPCORN HOLDER,1992,10/28/2011 12:32,0.72,17949.0,United Kingdom,1434.24
433788,573995,16014,SMALL CHINESE STYLE SCISSOR,3000,11/2/2011 11:24,0.32,16308.0,United Kingdom,960.0
437478,574294,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1020,11/3/2011 15:47,2.55,16333.0,United Kingdom,2601.0
437480,574294,21915,RED  HARMONICA IN BOX ,2100,11/3/2011 15:47,1.06,16333.0,United Kingdom,2226.0
447035,574941,22197,POPCORN HOLDER,1820,11/7/2011 17:42,1.95,,United Kingdom,3549.0
452365,575335,84879,ASSORTED COLOUR BIRD ORNAMENT,1200,11/9/2011 13:56,1.45,12931.0,United Kingdom,1740.0
454472,575582,85099B,JUMBO BAG RED RETROSPOT,1000,11/10/2011 11:55,1.79,16986.0,United Kingdom,1790.0
467796,576365,22197,POPCORN HOLDER,1130,11/14/2011 17:55,1.95,,United Kingdom,2203.5
488313,577810,22197,POPCORN HOLDER,1000,11/22/2011 8:44,0.72,17949.0,United Kingdom,720.0
511421,579498,23084,RABBIT NIGHT LIGHT,2040,11/29/2011 15:52,1.79,12798.0,Japan,3651.6
516562,579936,21787,RAIN PONCHO RETROSPOT,1200,12/1/2011 10:07,0.65,12901.0,United Kingdom,780.0
519822,580170,22197,POPCORN HOLDER,1000,12/2/2011 11:39,0.72,17949.0,United Kingdom,720.0
520003,580243,21915,RED  HARMONICA IN BOX ,1120,12/2/2011 12:19,1.06,16333.0,United Kingdom,1187.2
521375,580363,23582,VINTAGE DOILY JUMBO BAG RED ,1500,12/2/2011 16:32,1.79,13868.0,United Kingdom,2685.0
533812,581115,22413,METAL SIGN TAKE IT OR LEAVE IT ,1404,12/7/2011 12:20,2.75,15195.0,United Kingdom,3861.0
534952,581175,23084,RABBIT NIGHT LIGHT,1440,12/7/2011 15:16,1.79,14646.0,Netherlands,2577.6
540070,581458,22197,POPCORN HOLDER,1500,12/8/2011 18:45,0.72,17949.0,United Kingdom,1080.0
540071,581459,22197,POPCORN HOLDER,1200,12/8/2011 18:46,0.72,17949.0,United Kingdom,864.0
